"","Jenis_Kelamin","MK1","MK2","MK3","MK4","MK5","IK1","IK2","IK3","IK4","IK5","SM1","SM2","SM3","LM1","LM2","LM3","MK_Skor","IK_Skor","SM_Skor","LM_Skor"
"69","L",4,2,2,4,3,2,2,4,3,2,2,3,3,3,4,3,15,13,8,10
"70","L",2,2,2,2,2,3,2,3,3,3,2,2,2,2,3,2,10,14,6,7
"71","L",2,2,2,2,2,2,3,1,2,2,2,2,2,4,3,2,10,10,6,9
"72","L",2,2,2,2,2,1,2,2,2,2,2,2,3,2,2,3,10,9,7,7
"73","L",2,4,2,2,2,3,3,3,2,2,2,2,2,2,2,2,12,13,6,6
"74","L",2,2,2,2,2,3,4,2,3,3,2,4,2,2,3,2,10,15,8,7
"75","L",2,4,2,2,4,3,4,3,4,4,4,4,4,4,2,3,14,18,12,9
"76","L",2,2,3,4,3,2,3,2,2,2,2,2,2,2,3,2,14,11,6,7
"77","L",2,2,4,4,2,3,2,2,3,2,2,2,2,2,2,2,14,12,6,6
"78","L",2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,10,9,6,6
"79","L",3,4,3,2,2,2,2,2,3,2,3,2,2,2,2,3,14,11,7,7
"80","L",2,3,2,2,3,3,2,2,2,2,2,2,2,2,2,2,12,11,6,6
"81","L",2,2,3,2,3,2,2,2,2,2,2,2,4,2,2,2,12,10,8,6
"82","L",2,2,3,3,2,1,2,1,2,2,2,2,4,2,2,3,12,8,8,7
"83","L",3,2,3,2,3,1,2,2,2,2,2,2,2,2,2,2,13,9,6,6
"84","L",2,2,2,2,3,2,2,2,3,2,2,2,2,2,2,3,11,11,6,7
"85","L",2,3,3,2,2,3,3,3,3,2,4,2,2,3,2,2,12,14,8,7
"86","L",3,3,4,4,4,3,3,3,2,2,3,2,2,2,2,2,18,13,7,6
"87","L",4,4,4,4,4,2,2,1,2,2,2,2,2,2,2,3,20,9,6,7
"88","L",2,4,3,2,2,3,3,2,2,2,2,2,2,2,2,2,13,12,6,6
"89","L",2,2,2,2,2,2,2,2,2,2,3,2,3,2,2,2,10,10,8,6
"90","L",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10,10,6,6
"91","L",2,2,2,2,2,3,2,2,2,3,2,2,2,2,3,2,10,12,6,7
"92","L",2,2,2,2,2,2,2,2,2,2,3,3,4,2,2,4,10,10,10,8
"93","L",4,2,4,4,4,2,2,2,3,3,4,2,4,4,4,2,18,12,10,10
"94","L",3,2,2,3,2,3,4,4,3,3,3,3,2,3,2,2,12,17,8,7
"95","L",2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,10,11,6,6
"96","L",2,2,2,2,3,4,2,3,3,3,2,2,2,2,2,2,11,15,6,6
"97","L",3,3,2,2,2,2,2,3,2,2,2,2,2,3,2,2,12,11,6,7
"98","L",2,2,3,3,2,3,2,4,2,3,3,2,2,2,2,4,12,14,7,8
"99","L",2,2,2,3,2,2,4,2,2,4,2,4,2,3,2,2,11,14,8,7
"100","L",3,2,3,2,3,3,2,4,3,2,4,4,3,4,4,3,13,14,11,11
"101","L",3,2,2,2,2,3,2,3,2,2,3,4,4,2,2,2,11,12,11,6
"102","L",3,2,2,2,2,2,3,2,2,3,2,2,2,2,2,2,11,12,6,6
"103","L",2,2,2,2,2,3,2,2,3,2,4,2,2,2,2,2,10,12,8,6
"104","L",2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,10,10,7,6
